timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643394206641,273,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,1129,256,6,6,https://jsonplaceholder.typicode.com/posts/1,273,0,0
1643394206665,267,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,1127,256,6,6,https://jsonplaceholder.typicode.com/posts/1,267,0,0
1643394206667,274,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,1125,256,6,6,https://jsonplaceholder.typicode.com/posts/1,274,0,0
1643394206783,279,DELETE,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,1064,226,6,6,https://jsonplaceholder.typicode.com/posts/1,279,0,0
1643394206827,286,DELETE,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,1058,226,6,6,https://jsonplaceholder.typicode.com/posts/1,286,0,0
1643394206863,276,DELETE,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,1066,226,6,6,https://jsonplaceholder.typicode.com/posts/1,276,0,0
1643394206914,275,DELETE,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,1064,226,6,6,https://jsonplaceholder.typicode.com/posts/1,275,0,0
1643394206942,261,DELETE,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,1056,226,6,6,https://jsonplaceholder.typicode.com/posts/1,261,0,0
1643394207063,164,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,1369,140,6,6,https://jsonplaceholder.typicode.com/posts/1,164,0,119
1643394207113,147,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,1379,140,6,6,https://jsonplaceholder.typicode.com/posts/1,147,0,99
1643394207139,158,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,1371,140,6,6,https://jsonplaceholder.typicode.com/posts/1,158,0,115
1643394207204,128,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,1369,140,6,6,https://jsonplaceholder.typicode.com/posts/1,128,0,88
1643394207189,148,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,1373,140,6,6,https://jsonplaceholder.typicode.com/posts/1,148,0,103
1643394207227,275,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1252,250,6,6,https://jsonplaceholder.typicode.com/posts,275,0,0
1643394207260,271,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1256,250,6,6,https://jsonplaceholder.typicode.com/posts,271,0,0
1643394207297,257,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1252,250,6,6,https://jsonplaceholder.typicode.com/posts,257,0,0
1643394207332,261,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1260,250,6,6,https://jsonplaceholder.typicode.com/posts,261,0,0
1643394207338,262,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1258,250,6,6,https://jsonplaceholder.typicode.com/posts,262,0,0
1643394207502,263,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,1123,256,6,6,https://jsonplaceholder.typicode.com/posts/1,263,0,0
1643394207531,261,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,1127,256,6,6,https://jsonplaceholder.typicode.com/posts/1,261,0,0
1643394207554,265,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,1125,256,6,6,https://jsonplaceholder.typicode.com/posts/1,265,0,0
1643394207601,254,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,1127,256,6,6,https://jsonplaceholder.typicode.com/posts/1,254,0,0
1643394207593,270,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,1127,256,6,6,https://jsonplaceholder.typicode.com/posts/1,270,0,0
